,CensusTract,State,County,pop_with_low_access,percent_with_low_access
56452,42045403300,Pennsylvania,Delaware,0.0,0.0
56472,42045404600,Pennsylvania,Delaware,0.0,0.0
56453,42045403401,Pennsylvania,Delaware,0.0,0.0
56471,42045404500,Pennsylvania,Delaware,0.0,0.0
56470,42045404400,Pennsylvania,Delaware,0.0,0.0
56469,42045404300,Pennsylvania,Delaware,0.0,0.0
9910,6075020500,California,San Francisco,0.0,0.0
56467,42045404102,Pennsylvania,Delaware,0.0,0.0
56466,42045404101,Pennsylvania,Delaware,0.0,0.0
56465,42045404004,Pennsylvania,Delaware,0.0,0.0
56464,42045404003,Pennsylvania,Delaware,0.0,0.0
56463,42045403902,Pennsylvania,Delaware,0.0,0.0
56462,42045403901,Pennsylvania,Delaware,0.0,0.0
5439,6037228420,California,Los Angeles,0.0,0.0
5440,6037228500,California,Los Angeles,0.0,0.0
5441,6037228600,California,Los Angeles,0.0,0.0
9909,6075020402,California,San Francisco,0.0,0.0
56456,42045403502,Pennsylvania,Delaware,0.0,0.0
56455,42045403501,Pennsylvania,Delaware,0.0,0.0
56454,42045403402,Pennsylvania,Delaware,0.0,0.0
31259,25005631500,Massachusetts,Bristol,0.0,0.0
9888,6075016300,California,San Francisco,0.0,0.0
5506,6037238310,California,Los Angeles,0.0,0.0
9870,6075013102,California,San Francisco,0.0,0.0
31386,25009206900,Massachusetts,Essex,0.0,0.0
31387,25009207000,Massachusetts,Essex,0.0,0.0
31388,25009207100,Massachusetts,Essex,0.0,0.0
31389,25009207200,Massachusetts,Essex,0.0,0.0
5498,6037237600,California,Los Angeles,0.0,0.0
9873,6075013400,California,San Francisco,0.0,0.0
9872,6075013300,California,San Francisco,0.0,0.0
9871,6075013200,California,San Francisco,0.0,0.0
31403,25009210700,Massachusetts,Essex,0.0,0.0
5493,6037237202,California,Los Angeles,0.0,0.0
31404,25009210800,Massachusetts,Essex,0.0,0.0
9869,6075013101,California,San Francisco,0.0,0.0
9868,6075013000,California,San Francisco,0.0,0.0
56143,42029302702,Pennsylvania,Chester,0.0,0.0
56142,42029302600,Pennsylvania,Chester,0.0,0.0
56141,42029302500,Pennsylvania,Chester,0.0,0.0
56140,42029302400,Pennsylvania,Chester,0.0,0.0
56139,42029302300,Pennsylvania,Chester,0.0,0.0
31385,25009206800,Massachusetts,Essex,0.0,0.0
31384,25009206700,Massachusetts,Essex,0.0,0.0
31383,25009206600,Massachusetts,Essex,0.0,0.0
31382,25009206500,Massachusetts,Essex,0.0,0.0
5495,6037237401,California,Los Angeles,0.0,0.0
31366,25009204701,Massachusetts,Essex,0.0,0.0
5496,6037237402,California,Los Angeles,0.0,0.0
31367,25009204702,Massachusetts,Essex,0.0,0.0
31368,25009205100,Massachusetts,Essex,0.0,0.0
31369,25009205200,Massachusetts,Essex,0.0,0.0
31372,25009205500,Massachusetts,Essex,0.0,0.0
9875,6075015100,California,San Francisco,0.0,0.0
9874,6075013500,California,San Francisco,0.0,0.0
31377,25009206000,Massachusetts,Essex,0.0,0.0
31378,25009206100,Massachusetts,Essex,0.0,0.0
56168,42029304102,Pennsylvania,Chester,0.0,0.0
56167,42029304101,Pennsylvania,Chester,0.0,0.0
31379,25009206200,Massachusetts,Essex,0.0,0.0
31380,25009206300,Massachusetts,Essex,0.0,0.0
5497,6037237500,California,Los Angeles,0.0,0.0
31381,25009206400,Massachusetts,Essex,0.0,0.0
5499,6037237710,California,Los Angeles,0.0,0.0
31420,25009217300,Massachusetts,Essex,0.0,0.0
9867,6075012902,California,San Francisco,0.0,0.0
31445,25009250600,Massachusetts,Essex,0.0,0.0
31448,25009250900,Massachusetts,Essex,0.0,0.0
