,CensusTract,State,County,pop_with_low_access,percent_with_low_access
15170,12053040400,Florida,Hernando,1728.37965915906,0.543686586712509
15623,12069030405,Florida,Lake,1718.98906801037,0.365509051246092
17268,12099007908,Florida,Palm Beach,1715.72242297033,0.203140234782185
14734,12019030201,Florida,Clay,1714.69916533214,0.148793749161068
15227,12055961500,Florida,Highlands,1711.94521475014,0.334103281567164
15645,12069030914,Florida,Lake,1711.65047876621,0.339411159779143
15612,12069030203,Florida,Lake,1709.87385797771,0.211775310623943
17828,12107950800,Florida,Putnam,1708.946147626,0.550030945486322
17932,12113010706,Florida,Santa Rosa,1705.98929394912,0.220925834492246
14285,12009071200,Florida,Brevard,1704.34643989433,0.132232635572529
14251,12009065235,Florida,Brevard,1703.86034424326,0.313786435403916
14136,12003040101,Florida,Baker,1691.84428490004,0.253118534545189
18085,12117021404,Florida,Seminole,1681.3716867697,0.241402970103331
15215,12055960502,Florida,Highlands,1678.87220079109,0.2359623613199
14117,12001001902,Florida,Alachua,1675.10182269711,0.505157365107694
14217,12009063105,Florida,Brevard,1672.74564805324,0.190322636028358
14289,12009071334,Florida,Brevard,1672.18476955004,0.195257446234242
15639,12069030805,Florida,Lake,1667.25959159189,0.53114354622233
14736,12019030203,Florida,Clay,1667.17418976052,0.105926309788457
18069,12117021204,Florida,Seminole,1664.5262255397,0.170388599195384
14830,12021011205,Florida,Collier,1649.27422068384,0.619096929686128
14156,12005001302,Florida,Bay,1648.19897369295,0.227181112845342
14131,12001002217,Florida,Alachua,1647.13060798309,0.296619954616081
16655,12091020600,Florida,Okaloosa,1645.38894340833,0.173949565853508
14729,12017451602,Florida,Citrus,1639.11514406361,0.255672304486604
17718,12105012125,Florida,Polk,1632.51954496465,0.567635446788823
18246,12127090803,Florida,Volusia,1626.8418409169,0.321510245240495
18284,12131950601,Florida,Walton,1623.85146885035,0.189282138809926
18043,12117020202,Florida,Seminole,1620.18794841319,0.363026652120366
15581,12061050804,Florida,Indian River,1616.30040939025,0.288264742177681
14795,12021010415,Florida,Collier,1616.23301830495,0.110784359332713
15246,12057000800,Florida,Hillsborough,1602.82157734292,0.491060532274181
16851,12095016732,Florida,Orange,1601.99818195629,0.108235807172238
15625,12069030407,Florida,Lake,1599.32250762725,0.530103582243043
16853,12095016734,Florida,Orange,1594.81581585405,0.135028009131661
17345,12101031505,Florida,Pasco,1592.18679012503,0.278549123534821
18216,12127082902,Florida,Volusia,1587.69468623966,0.286071114637778
18263,12127091022,Florida,Volusia,1576.89987447042,0.209137914385999
15404,12057011521,Florida,Hillsborough,1574.12186659032,0.368819556370741
16022,12083001301,Florida,Marion,1573.14591679129,0.261798288698834
15514,12057013912,Florida,Hillsborough,1571.05598833126,0.452623448093134
17372,12101032006,Florida,Pasco,1567.05222319754,0.220029798258572
17362,12101031805,Florida,Pasco,1561.6216109817,0.391089809912773
16138,12086000412,Florida,Miami-Dade,1557.98187996982,0.232153461476654
15453,12057012501,Florida,Hillsborough,1556.64591274337,0.393987829092223
15540,12057014108,Florida,Hillsborough,1555.34623956938,0.305389012285369
14881,12031002801,Florida,Duval,1551.73900043643,0.324835461678132
15074,12033003201,Florida,Escambia,1550.23783129671,0.296696235654874
14802,12021010506,Florida,Collier,1549.7810909879,0.278837907698435
14969,12031014404,Florida,Duval,1548.8567878179,0.167752278546291
18016,12115002507,Florida,Sarasota,1548.17365825895,0.291722942954391
18196,12127082413,Florida,Volusia,1548.06091436769,0.457735338370106
15093,12033003610,Florida,Escambia,1545.41807975944,0.242190578241568
17026,12099003201,Florida,Palm Beach,1543.76747500021,0.33263681857363
15705,12071010105,Florida,Lee,1541.89155123117,0.335924085235549
15468,12057013205,Florida,Hillsborough,1539.24739718809,0.191687098030896
15191,12053041103,Florida,Hernando,1532.69494258191,0.387141940535973
17923,12113010300,Florida,Santa Rosa,1526.41062181934,0.159366320924968
16890,12095017703,Florida,Orange,1523.43460725269,0.347340311731121
17717,12105012124,Florida,Polk,1521.74574767328,0.290077344200017
16874,12095017017,Florida,Orange,1521.24926174432,0.124907567266961
16947,12097043600,Florida,Osceola,1516.09459288907,0.234580627090991
16718,12095012303,Florida,Orange,1513.25086426734,0.235378886960235
17816,12105016003,Florida,Polk,1513.16691597392,0.593166176391191
16038,12083002302,Florida,Marion,1512.22893784422,0.244104751871546
15865,12073002205,Florida,Leon,1510.10325025691,0.26765389050991
17792,12105014802,Florida,Polk,1508.18213636252,0.527890142233996
15115,12035060212,Florida,Flagler,1494.89678731025,0.284959357093071
